1.2224,1.2221,2.0078,2.1456,2.2411,2.1666,1.8116,1.8835,1.9005,2.1075,1.876,1.7578,1.4675,1.8055,2.2089,1.8359,1.6376,1.1226
1.5133,2.1122,2.1101,1.1868,1.8166,1.2879,1.893,1.9511,1.1358,1.6094,1.716,1.1423,2.2545,1.2241,1.3021,1.2631,1.5598,1.7703
1.2249,2.0433,1.1213,1.5112,1.4196,1.5638,1.8792,1.8508,1.8782,2.142,2.1959,1.752,1.1219,2.2444,2.0644,2.2166,1.754,1.493
1.5162,1.5879,1.779,1.3656,2.1148,1.4552,1.2593,2.144,1.3413,1.7288,1.6489,1.5217,1.2292,1.2783,2.1753,1.7166,1.3905,2.1048
1.1803,1.9922,2.2218,1.7725,1.6637,1.7935,1.2711,1.2025,2.1443,1.2897,1.2704,2.1648,1.5245,1.999,2.0022,1.6421,1.9901,1.2724
1.8928,1.2845,1.1799,1.2053,1.2154,1.4844,1.9511,1.3764,2.2064,2.2766,2.2009,1.5808,2.1547,2.1562,2.1137,1.5017,2.1984,1.6823
1.5636,1.2687,2.0748,1.6747,1.9284,1.4423,1.434,1.5509,1.3911,1.715,1.2416,2.2956,1.2891,1.4356,1.4763,1.1982,2.1462,1.3435
2.0831,1.3615,2.2582,2.0165,1.7313,2.1779,1.7659,2.0304,2.2003,1.7762,1.8876,1.7046,1.3405,1.2367,1.8627,1.5728,2.0644,1.4303
1.3825,1.1636,1.869,2.1665,2.2089,1.9733,1.9951,1.7831,1.4048,2.2072,1.804,2.0752,1.4629,1.4158,1.1359,1.8144,1.4433,1.1833
1.6714,1.3086,1.7313,1.1839,2.1734,2.1051,1.2207,1.7118,1.6611,1.9423,1.5705,1.7604,1.1119,1.8011,1.8694,1.1642,2.2297,1.9046
1.3332,2.1528,1.2473,2.0886,2.2198,1.3497,2.2589,1.3311,1.4845,1.8497,2.0193,1.3675,1.1027,1.1337,1.1471,1.329,1.9705,1.5677
1.2891,2.034,1.8102,1.4599,1.4068,1.4683,1.5758,1.256,1.644,2.1373,1.6501,1.9689,1.6691,2.2348,1.7165,2.122,1.1999,2.1582
2.2229,1.3504,1.2879,1.1207,1.5097,1.4444,1.2944,1.1442,1.9305,1.2953,2.1805,1.3563,1.6374,2.2867,1.7777,1.7366,2.193,1.6771
1.8449,1.9422,1.6392,1.2777,1.9135,1.2257,1.6727,1.2107,1.4015,1.8695,1.1793,2.0474,1.6998,2.1084,2.17,1.1583,1.1641,1.7849
